Epoch 4 Batch 250, Loss: 0.03600703179836273
Epoch 4 Batch 260, Loss: 0.12018690258264542
Epoch 4 Batch 270, Loss: 0.029683606699109077
Epoch 4 Batch 280, Loss: 0.048849329352378845
Epoch 4 Batch 290, Loss: 0.027261871844530106
Epoch 4 Batch 300, Loss: 0.08135353028774261
Epoch 4 Batch 310, Loss: 0.14505699276924133
Epoch 4 Batch 320, Loss: 0.3373151123523712
Epoch 4 Batch 330, Loss: 0.1488015204668045
Epoch 4 Batch 340, Loss: 0.016450608149170876
Epoch 4 Batch 350, Loss: 0.2553376853466034
Epoch 4 Batch 360, Loss: 0.0715104416012764
Epoch 4 Batch 370, Loss: 0.10461943596601486
Epoch 4 Batch 380, Loss: 0.03642033785581589
Epoch 4 Batch 390, Loss: 0.15940052270889282
Epoch 4 Batch 400, Loss: 0.054843928664922714
Epoch 4 Batch 410, Loss: 0.15068316459655762
Epoch 4 Batch 420, Loss: 0.05665087327361107
Epoch 4 Batch 430, Loss: 0.051294974982738495
Epoch 4 Batch 440, Loss: 0.27770596742630005
Epoch 4 Batch 450, Loss: 0.13291007280349731
Epoch 4 Batch 460, Loss: 0.37522685527801514
Epoch 4 Batch 470, Loss: 0.03245934471487999
Epoch 4 Batch 480, Loss: 0.03343941271305084
Epoch 4 Batch 490, Loss: 0.08070531487464905
Epoch 4 Batch 500, Loss: 0.006714970339089632
Epoch 4 Batch 510, Loss: 0.03442433103919029
Epoch 4 Batch 520, Loss: 0.0764007568359375
Epoch 4 Batch 530, Loss: 0.021164221689105034
Epoch 4 Batch 540, Loss: 0.3977001905441284
Epoch 4 Batch 550, Loss: 0.07381501793861389
Epoch 4 Batch 560, Loss: 0.18082809448242188
Epoch 4 Batch 570, Loss: 0.30819645524024963
Epoch 4 Batch 580, Loss: 0.1264694631099701
Epoch 4 Batch 590, Loss: 0.018442165106534958
Epoch 4 Batch 600, Loss: 0.014772030524909496
Epoch 4 Batch 610, Loss: 0.04957745596766472
Epoch 4 Batch 620, Loss: 0.010989398695528507
Epoch 4 Batch 630, Loss: 0.13736271858215332
Epoch 4 Batch 640, Loss: 0.03254549205303192
Epoch 4 Batch 650, Loss: 0.02688675746321678
Epoch 4 Batch 660, Loss: 0.030740130692720413
Epoch 4 Batch 670, Loss: 0.06411448121070862
Epoch 4 Batch 680, Loss: 0.03782762214541435
Epoch 4 Batch 690, Loss: 0.054470427334308624
Epoch 4 Batch 700, Loss: 0.12161259353160858
Epoch 4 Batch 710, Loss: 0.011657467111945152
Epoch 4 Batch 720, Loss: 0.05123592168092728
Epoch 4 Batch 730, Loss: 0.07066324353218079
Epoch 4 Batch 740, Loss: 0.03682628273963928
Epoch 4 Batch 750, Loss: 0.054399989545345306
Epoch 4 Batch 760, Loss: 0.02285189740359783
Epoch 4 Batch 770, Loss: 0.2134493887424469
Epoch 4 Batch 780, Loss: 0.047396618872880936
Epoch 4 Batch 790, Loss: 0.14270484447479248
Epoch 4 Batch 800, Loss: 0.029485907405614853
Epoch 4 Batch 810, Loss: 0.045776017010211945
Epoch 4 Batch 820, Loss: 0.0734618604183197
Epoch 4 Batch 830, Loss: 0.2252216637134552
Epoch 4 Batch 840, Loss: 0.14580538868904114
Epoch 4 Batch 850, Loss: 0.09423212707042694
